# CONFORMANCE TABLE -- c2's inline decision function, clause by clause.
# Lane w-inlmetric. Source: docs/whitebox/ref/P_INLINE.md SS1-SS2 +
# docs/whitebox/WB_INLINE_FINDINGS.md SS1-SS2.4. Frozen by work/w-inlmetric/PREREG.md SS1.
#
# ADDRESS REPAIR, lane w-clausefix 2026-08-28, under work/w-clausefix/PREREG.md.
# TEN of the 24 `addr` cells did not name the instruction their `clause` names:
#   C2 C3 C4 C14 C16 C17 C18 C19  -- mid-instruction, found by the ALIGN check
#   C10 C15                       -- ALIGNED, in the right function, WRONG
#                                    instruction; no alignment check can see
#                                    this class, which is why `asm` exists.
# Only the `addr` column moved, plus the additive `asm` column. No clause, owner,
# state, witness, exercised or note cell was touched, and the split is unchanged
# at absent 17 / fitted 2 / R-derived 2 / unexercisable 3 over 24 rows
# (reachable denominator 21).
#
# THIS IS A PROGRESS INSTRUMENT, NEVER A GATE (docs/FUNCTION_BYTE_MATCH.md SS0).
# It licenses no emit. Nothing here enters crates/.
#
# addr        the c2 VA the clause is read at, in c2.dll sha256 c80981c0..a66258.
#             MECHANICALLY CHECKED by work/w-inlmetric/check_table.py, three ways:
#             (1) ADDRESS -- inside the FUNCS.tsv extent of `owner`;
#             (2) ALIGN   -- starts an instruction, per the INDEPENDENT objdump
#                            listing (not the Ghidra database the addrs came from);
#             (3) DECODE  -- the instruction there is the one `asm` records.
# owner       the function the page claims the addr is in. A mismatch is RED.
# asm         the objdump `-M intel` text at `addr`, runs of blanks collapsed.
#             It PINS THE ADDRESS TO A DECODE. It does NOT verify the clause --
#             for the four rows whose clause cites a function ENTRY (C1, C5/C6,
#             C20, C21) the witness is `push ebp`, which is weak ON PURPOSE and
#             is recorded here so nobody reads DECODE-GREEN as clause-confirmed.
# state       R-derived | fitted | absent | unexercisable
#               R-derived     the port's counterpart is derived from the same
#                             field/fact c2 tests, with a DISCLOSURE-grade trail.
#               fitted        a counterpart exists and is a black-box FIT, not
#                             a reading of this clause.
#               absent        no counterpart in crates/. Ties break HERE (PREREG SS5).
#               unexercisable no compilation this project runs can reach the
#                             clause, so `absent` would mis-read it.
# witness     path:token  (verified present)  |  none:<token-that-must-be-ABSENT>
# exercised   yes | no | not-separable | unexercisable  -- by the 878-TU workload,
#             measured on the 100-TU hold-out's 8,936 graded callees where possible.
#
# ==========================================================================
# READ COLUMNS, lane w-inlclause 2026-08-29, under work/w-inlclause/PREREG.md.
# Board #3796-#3801. Graded by work/w-inlclause/read_state.py.
#
# `state` says whether the PORT has a counterpart. It says nothing about
# whether THIS PROJECT has read the clause well enough to build one, and on
# 2026-08-29 all fifteen `absent` rows were carrying one word for two
# situations a reader would act on differently:
#
#     "nobody has read this"                   -> a read is the next step
#     "it is read and the port cannot use it"  -> a read buys nothing
#
# THE ANSWER IS 13 UNADOPTED TO 2 UNREAD, not the large unread column the
# word `absent` suggests. Measured by work/w-inlclause/read_scan.py, which
# greps a frozen corpus of PROSE reads for the addresses that PIN each clause
# -- which for eight of the fifteen is NOT the address the row cites.
#
# read        R1 | R2 | R3, orthogonal to `state`.
#               R1  READ AND DERIVABLE. An address-cited read exists from
#                   which a port counterpart could be written today with every
#                   field carrying a PROV[R] address.
#               R2  READ, NOT DERIVABLE. A read exists and a NAMED link
#                   between c2's quantity and anything crates/ can compute is
#                   missing. `blocker` names it.
#               R3  UNREAD. Nothing in the corpus reads the clause beyond
#                   restating it. R3 is NOT CHEAP: a universal negative over a
#                   corpus is the easiest thing here to assert and the hardest
#                   to check, so every R3 row owes a recorded search in
#                   work/w-inlclause/UNREAD_EVIDENCE.md.
#             Ties break AWAY from R1 -- it is the only value that licenses an
#             adoption. THERE ARE NO R3 ROWS ON THIS TREE; C5 and C6 were the
#             two, and w-inlclause read them (IMAGE_READ.md SS3-SS4).
# readcite    path#anchor. The path must exist and the anchor must be present
#             in it. `-` only for R3.
# blocker     R1: none (adoptable) | emit-change (derivable, out of a
#             byte-neutral lane's scope).   R2: the missing link, and FOUR of
#             the six R2 rows name the SAME one -- `no-instr-count`, the port
#             has no pre-codegen instruction count. That is one missing link,
#             not six reasons.   unexercisable rows: n-a.
#
# THE SPLIT MOVED, absent 15 -> 12 / R-derived 4 -> 7, and only two of the
# three moves were conversions in the usual sense:
#   C14, C18   STALE. The port has carried counterparts since w-inlbudget
#              (2026-08-28) -- INLINE_LEVEL_DEPTH_CAP and
#              INLINE_CHARGE_EXEMPT_MAX, both PROV[R] at these rows' own
#              addresses, and that rung names C14 and C18 in those words. The
#              rows stayed `absent` because the ABSENCE screen checks ONE
#              SPELLING: it is a NAME screen in the direction #3641 declares
#              (a mention read as a counterpart) AND in the direction nobody
#              had declared -- A COUNTERPART ADOPTED UNDER A DIFFERENT NAME IS
#              INVISIBLE TO IT. C3 and C19 only converted last wave because
#              the adopting lane happened to choose colliding tokens.
#   C15        A real adoption, w-inlclause, byte-neutral by construction.
# ==========================================================================
#
id	clause	addr	owner	state	witness	exercised	note	asm	read	readcite	blocker	wgloss	egloss	cites
C1	pass entry per function; whole pass skipped when DAT_10c40ec4 == 0	10b62675	10b62675	absent	none:DAT_10c40ec4	yes	the port has no inline PASS at all; splice/elide are emit-time rules inside lowering	push ebp	R2	work/w-clausefix/REPAIRS.md#0x10b6267b	writer-unread	-	-	-
C2	caller instruction count seeded: DAT_10c3f5cc = (ushort)[fn+0x50]	10b62703	10b62675	absent	none:caller_instr_seed	not-separable	F7: caller 48 B vs 5,640 B gives identical verdicts on 12 cells	mov ds:0x10c3f5cc,eax	R2	work/w-inlbudget/IMAGE_READ.md#0x10b62703	no-instr-count	-	(F7)	-
C3	growth budget B = clamp(2 x caller_instrs, 1000, 35000)	10b62708	10b62675	R-derived	crates/c2-core/src/splice.rs:INLINE_BUDGET_FLOOR	not-separable	P_INLINE SS3.1 records this READ, NOT CONFIRMED; no DISCLOSURE row proposes it	add eax,eax	R1	work/w-inlbudget/IMAGE_READ.md#0x10b62708	none	-	(F7)	crates/c2-core/src/splice.rs
C4	driver entry FUN_10b61ee1(fn, level=1, budget=B, 0, 100000000, 0)	10b6276e	10b62675	absent	none:inline_driver	not-separable	no depth/budget parameters exist to pass	call 0x10b61ee1	R2	docs/whitebox/ref/P_INLINE.md#0x10b6276e	no-instr-count	-	-	crates/c2-core/src/splice.rs
C5	site collector: one linear scan; instruction kind 0x0f is a call site	10b600e6	10b600e6	absent	none:site_collector	yes	the port reaches sites through Terminator::TailCall / Selected, not a tuple scan	push ebp	R2	work/w-inlclause/IMAGE_READ.md#0x10b6020b	no-instr-stream	-	-	-
C6	site collector: EH-region nesting + conditional/EH flag into bit 1	10b600e6	10b600e6	absent	none:eh_region_nesting	yes	the port REFUSES a conditional site (splice S1/S3) rather than flagging it; F8 = 6 cells	push ebp	R2	work/w-inlclause/IMAGE_READ.md#0x10b603ef	no-instr-stream	-	(F8, 6 cells)	-
C7	ceiling VALUE: DAT_10c46318 = 0x10 << DAT_10c2ea98, or 1000 at k >= 7	10b5e4d7	10b5e4cc	absent	none:DAT_10c46318	yes	16<<3 = 128 INSTRUCTIONS does not compose into the measured byte brackets (SS4.2)	mov DWORD PTR ds:0x10c46318,0x3e8	R1	docs/whitebox/ref/P_INLINE.md#0x10b5e4d7	emit-change	-	-	-
C8	candidacy SIZE TEST: cmp WORD [sym+0x50], DAT_10c46318; jl = candidate	10b5fc8a	10b5fb5f	fitted	crates/c2-core/src/splice.rs:INLINE_UNBOUNDED_BYTES	yes	port tests LOWERED BYTES (64/128/80) where c2 tests a pre-codegen COUNT; 3 constants, all obj-fitted	cmp eax,DWORD PTR ds:0x10c46318	R2	docs/whitebox/ref/P_INLINE.md#0x10b5fc8a	unit-gap	-	-	-
C9	favour-speed bit 0x10c2e310 non-zero => the size test is SKIPPED	10b5fc7e	10b5fb5f	absent	none:favor_speed	no	the workload is pinned to /O1, so the bit is single-valued; GRID-I moved it at /O2 on 60 cells	cmp DWORD PTR ds:0x10c2e310,ebx	R1	docs/whitebox/WB_INLINE_FINDINGS.md#0x10b8238d	emit-change	-	— `/O1` pins the bit	-
C10	__forceinline: test [sym+0x4c], 0x2000 bypasses every size and budget test	10b60a28	10b60930	absent	none:FN_FLAG_FORCEINLINE	yes	c2 accepts at 0x10b60a3e, so it bypasses C15/C16/C17/POGO -- but NOT C14, which is upstream, and NOT the size test, which is FUN_10b5fb5f's (mask 0x2080 there, not 0x2000). Four 0x2000 sites in this subsystem; this clause names one	and eax,0x2000	R1	work/w-clausefix/REPAIRS.md#0x10b60a28	emit-change	-	(F4, 2 cells)	crates/c2-core/src/splice.rs
C11	legality: refuse on [sym+0x20] & {0x400, 0x1000, 0x40, 0x100}	10b5c06b	10b5c06b	absent	none:SYM20_MASK	no	no workload witness isolates any of these four bits	mov eax,DWORD PTR [ecx+0x20]	R1	work/w-clausefix/REPAIRS.md#0x10b5c08f	emit-change	-	-	crates/c2-core/src/comdat.rs, crates/c2-harness/tests/clause_table.rs, crates/c2-harness/tests/noinline_boundary.rs, crates/c2-il/src/func/gl.rs
C12	legality: refuse on [sym+0x4c] & {0x80000, 0x200}	10b5c06b	10b5c06b	absent	none:SYM4C_REFUSE	no	no workload witness isolates either bit	mov eax,DWORD PTR [ecx+0x20]	R1	work/w-clausefix/REPAIRS.md#0x10b5c087	emit-change	-	-	crates/c2-core/src/comdat.rs, crates/c2-harness/tests/clause_table.rs, crates/c2-harness/tests/noinline_boundary.rs, crates/c2-il/src/func/gl.rs
C13	legality: REQUIRE bit 6 of [sym+0x4c]	10b5c06b	10b5c06b	R-derived	crates/c2-il/src/func/gl.rs:FN_FLAG_INLINABLE	yes	0x40 = bit 6; gl.rs's own comment records the two derivations meeting from opposite sides	mov eax,DWORD PTR [ecx+0x20]	R1	work/w-clausefix/REPAIRS.md#0x10b5c09a	none	(`0x40`)	-	crates/c2-core/src/comdat.rs, crates/c2-harness/tests/clause_table.rs, crates/c2-harness/tests/noinline_boundary.rs, crates/c2-il/src/func/gl.rs
