# per-TU sha256 of the predicted set, one column per model
src	NOROOT	M3A	M3	M3B	UNDEC	ALLW	F20_40000	F20_20000
src/ChecksumData_xbox.cpp	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4	0c5ac34d0848576bf09ef73379764403a3c2a81ac602291efed25b0029738ee4
src/lazer/game/BustAMovePanel.cpp	d92b76ddc835a195da6c6ab4d4bab853e45d8ff823c3bf3881af8a1c5592dcc4	581e82da49cad0c879f822a391197b38e498695e2b3e9200295e0a663857d5b4	581e82da49cad0c879f822a391197b38e498695e2b3e9200295e0a663857d5b4	d92b76ddc835a195da6c6ab4d4bab853e45d8ff823c3bf3881af8a1c5592dcc4	d92b76ddc835a195da6c6ab4d4bab853e45d8ff823c3bf3881af8a1c5592dcc4	2414d6ac2a2a31445bd68838e667b8af83bf996f6b0a33602cdd13322c4175eb	df5c3e6dc670c2a8e1b7d28c0651ad8f6ef79fc9ef0d48f205eaeeccf8a7ce3b	0cb80b381f0a32b4fae5d739ebf0f661f8694ba05b17bcb8a345021a34054c65
src/lazer/game/LiveInput.cpp	349bf0c35feb439d59eabfdc0506e35fbbcf1adcf9d0db1b5ebbd5dd36bfca35	fff168997f88ac1a9c92ff321b11249de9401519c28d63860a9d68de4c3c63b4	fff168997f88ac1a9c92ff321b11249de9401519c28d63860a9d68de4c3c63b4	349bf0c35feb439d59eabfdc0506e35fbbcf1adcf9d0db1b5ebbd5dd36bfca35	349bf0c35feb439d59eabfdc0506e35fbbcf1adcf9d0db1b5ebbd5dd36bfca35	be08b53008f9e6ba6f4d880dd2238b54965404837f468db31d25ea0fda2dbd56	692ccbc288798723033c73b43d8c8ffad316950a341ee4b91a4d27f14f990598	982bb89ba2926d141b31400d4ce749bd4038bef5faa6dc2a29869cdd332f425e
src/lazer/game/SongSequence.cpp	99ff5ba07286338a361dfbe7dcec3b41e32eef0954eddc8f4305120dd5652522	205ca9f2c1659a4f256682f1a8fe80723c3e8a46c1ecc0fb553efe5a6ced2693	205ca9f2c1659a4f256682f1a8fe80723c3e8a46c1ecc0fb553efe5a6ced2693	99ff5ba07286338a361dfbe7dcec3b41e32eef0954eddc8f4305120dd5652522	99ff5ba07286338a361dfbe7dcec3b41e32eef0954eddc8f4305120dd5652522	7f215592ae1f27cd14cf71092d15eb296b36809343d390781ac605ea8fe32669	5866038301275e838aa61de16b1f95d824835e1ffeed23eec0d039a2ba4c0dae	7d048d07015d4dfa0682c4d30fd574bb52c314c9e2d904d7b3927ac88d9a041a
src/lazer/meta_ham/AccomplishmentCategory.cpp	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8	f6f4ca3ba9740d8cda34f5a61f333eb80c36e98d871339562957791d79af5104	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8	e2dbb7ab7b9527d6e997c33e5f92db531b3f4544680eb873f596cbe27413f7c8
src/lazer/meta_ham/AccomplishmentDiscSongConditional.cpp	c96f790f78b26fdbd094dffac62f3a4c1e4a3b2ca4bc8af05f6a885c75a8c15d	02c151c7040b5ee5de534cd96a7f27651329d4a8f2b785fdeb40dd8c17fa4295	02c151c7040b5ee5de534cd96a7f27651329d4a8f2b785fdeb40dd8c17fa4295	c96f790f78b26fdbd094dffac62f3a4c1e4a3b2ca4bc8af05f6a885c75a8c15d	c96f790f78b26fdbd094dffac62f3a4c1e4a3b2ca4bc8af05f6a885c75a8c15d	cd2cd7580b186126683696768d33c5926701b378a067479787d4bf136256d06b	cfd279e18ee3580cde39c147b2b27acf4102530b001fd268b7e04cadef00310a	66c9b483bc86528db15896908dbc7a1cf5eeb2f3e0e1d4eededdd74d85c094ed
src/lazer/meta_ham/AppNavProvider.cpp	dd6b3c807b8e847fc10157657967fa9ccec61442e5f30941414ca85feddef5dc	05b502723a5ce3ea5d67f78e2335d6d386ddc37a1c0922169702ef6b4c20217d	05b502723a5ce3ea5d67f78e2335d6d386ddc37a1c0922169702ef6b4c20217d	dd6b3c807b8e847fc10157657967fa9ccec61442e5f30941414ca85feddef5dc	dd6b3c807b8e847fc10157657967fa9ccec61442e5f30941414ca85feddef5dc	673339790179796ef937cc68f6843f2e8e823575cb776a378b9259352be5d374	775688042e40f5e6cebe5770c903fe1761eba15444c1cfa06bc0fe83705a0ab4	8d9a96d58d91fb06ebeb6586e63c9f8397f6224c8d50717281faac0bf99f0cad
src/lazer/meta_ham/CampaignMasterQuestCrewSelectPanel.cpp	d74f74ca8810c8f1f89124051a259cc5b535d82a9437b85a367f71da5f88f4ec	49b0439d8bec1fd45c24314be2bd4de2a56eca337eb02968e6033e201924adaf	49b0439d8bec1fd45c24314be2bd4de2a56eca337eb02968e6033e201924adaf	d74f74ca8810c8f1f89124051a259cc5b535d82a9437b85a367f71da5f88f4ec	d74f74ca8810c8f1f89124051a259cc5b535d82a9437b85a367f71da5f88f4ec	e732bbbe56e591f08191cf1c1c233f8ed0908ce0a13d93b4f63e322f238aa19d	354acb6203e1e211a39fa3e7cde6c203ea76495549fa7a46ec64cfe227e7229f	4f385b07f728c86f3546e45bacc12b7606a60b8d955a1128f5fa6fe71b4d6cc3
src/lazer/meta_ham/ChallengeResultPanel.cpp	6f1c19bf1029d57fdf9ab7c24197f7ca0b3e2e1cc94d977b26d4ee34860a3119	d55974c3ca248d4a925922cc9cbd56abef7700f6b37898d5cdfb3190feee5686	d55974c3ca248d4a925922cc9cbd56abef7700f6b37898d5cdfb3190feee5686	6f1c19bf1029d57fdf9ab7c24197f7ca0b3e2e1cc94d977b26d4ee34860a3119	6f1c19bf1029d57fdf9ab7c24197f7ca0b3e2e1cc94d977b26d4ee34860a3119	c3c13226cc342a77a33cf7bd6909ab4333604384176d5574a1416c20adc3d26e	889b9e3410cdc51de53c9db1c639a322246b0830eec30950e3d83981337a8797	37167001e140dcccaa6e44d67472451361966681c20b7fc190f03f94de918fd0
src/lazer/meta_ham/FitnessCalorieSortByCalorie.cpp	5237351a860fab077ba1781be85f82ea59a8d472f90b81a3d22a4587983aebc2	02a37d37cc06c4983b46f685ee6ee41fa7b5d38276cf6d6a6f2686ecc1fb6ff9	02a37d37cc06c4983b46f685ee6ee41fa7b5d38276cf6d6a6f2686ecc1fb6ff9	5237351a860fab077ba1781be85f82ea59a8d472f90b81a3d22a4587983aebc2	5237351a860fab077ba1781be85f82ea59a8d472f90b81a3d22a4587983aebc2	233c27b1ef5bdd8d6aa7a5b0f57a1b21741a2b3a409029e86adf73ee1dae0279	8c9c01717e5889d50300a7a10861eabb8a0c844c1d64ed0e62fd4723c359c810	57e169de675481fa584d6be4f35ab0aee6d9e81b80fcc767c6a9a528064db613
