02 25 0 35734 
03 25 0 35734 
04 25 0 35734 
05 25 0 35734 
06 25 0 35734 
09 25 0 35734 
0A 25 0 35734 
0B 25 0 35734 
0C 25 0 35734 
0D 25 0 35734 
0F 25 0 35734 
1A 25 0 35734 
1F 25 0 35734 
20 25 0 35734 
21 25 0 35734 
22 25 0 35734 
23 25 0 35734 
24 25 0 35734 
26 25 0 35734 
27 25 0 35734 
28 25 0 35734 
29 25 0 35734 
2C 24 0 35163 
30 25 0 35734 
32 25 0 35734 
33 20 0 32022 
35 25 0 35734 
38 25 0 35734 
39 25 0 35734 
3A 25 0 35734 
40 25 0 35734 
41 24 0 33040 
43 25 0 35734 
44 25 0 35734 
4B 25 0 35734 
4C 25 0 35734 
4F 25 0 35734 
53 25 0 35734 
54 25 0 35734 
55 19 0 32479 
5C 25 0 35734 
5D 25 0 35734 
5E 25 0 35734 
66 25 0 35734 
67 25 0 35734 
99 25 0 35734 
9B 25 0 35734 
B9 21 0 32322 
BD 25 0 35734 
